group_id,group_name,item_no,food_type_th,reference_serving,serving_value,unit
10,ผัก,2.2,อาหารที่บรรจุกระป๋อง ขวดแก้วที่ปิดสนิท ซองอลูมิเนียมฟอยล์ (ผักหรือถั่วในซอส),130 กรัม,130,กรัม
10,ผัก,3.1,สาหร่ายปรุงอาหาร ชนิดแห้ง,5 กรัม,5,กรัม
10,ผัก,3.2,สาหร่ายปรุงอาหาร ชนิดสด,55 กรัม,55,กรัม
10,ผัก,5,ผักแช่อิ่มหรือดอง (ไม่รวมของเหลว),20 กรัม,20,กรัม
11,ผลไม้,1,ผลไม้ (รวมของเหลว),140 กรัม,140,กรัม
11,ผลไม้,2,ผลไม้แช่อิ่มหรือดอง (ไม่รวมของเหลว),30 กรัม,30,กรัม
11,ผลไม้,3,ผลไม้แห้ง เช่น กล้วยตาก และผลไม้กวน เช่น สับปะรดกวน มะม่วงกวน,30 กรัม,30,กรัม
11,ผลไม้,4,ผลไม้แห้งแบบแช่เยือกแข็ง เช่น มะม่วง เงาะ แช่เยือกแข็ง,20 กรัม,20,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,1,ซอสสำหรับจิ้ม เช่น ซอสมัสตาร์ด น้ำจิ้มไก่ น้ำจิ้มซีฟู๊ด น้ำจิ้มแจ่ว (1 ช้อนโต๊ะ),15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,2.1,ซอสราดหน้าพร้อมบริโภค (ซอสที่มีส่วนประกอบของเนื้อสัตว์และ/หรือผัก เช่น ซอสสปาเก็ตตี้ ),125 กรัม,125,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,2.2,ซอสราดหน้าพร้อมบริโภค (ซอสที่ไม่มีส่วนประกอบของเนื้อสัตว์และ/หรือผัก เช่น น้ำราดหน้าข้าวหมูแดง-หมูกรอบ),60 กรัม,60,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,3.1,ซอสพิซซ่า,30 มิลลิลิตร,30,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,3.2,น้ำจิ้มสุกี้,30 มิลลิลิตร,30,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,3.3,น้ำจิ้มสะเต๊ะ หน้าตั้ง น้ำปลาหวาน น้ำจิ้มแหนมเนือง,30 มิลลิลิตร,30,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,3.4,ซอสผัด,30 มิลลิลิตร,30,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,4,น้ำส้มสายชู น้ำปลา น้ำเกลือปรุงอาหาร,15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,5,ซอสมะเขือเทศ ซีอิ๊ว ซอสพริก ซอสมะละกอ ซีอิ๊วหวาน เต้าเจี้ยว ซอสแป้ง เช่น ซอสเย็นตาโฟ,15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,6,ซอสเปรี้ยว,5 มิลลิลิตร,5,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,7,น้ำผึ้ง น้ำเชื่อม เช่น เมเปิลไซรัป และผลิตภัณฑ์ราดหน้าขนมต่าง ๆ,15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,8,น้ำตาล (1 ช้อนชา = 4 กรัม),4 กรัม,4,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,9,เกลือ (รวมทั้งวัตถุทดแทนเกลือ เกลือปรุงรส),1 กรัม,1,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,10,ซุปก้อน ซุปผง ซุปเข้มข้น (ปริมาณที่ระบุสำหรับเตรียมซุป 150 กรัม),150 กรัม,150,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,11,ผงปรุงรส,5 กรัม,5,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,12,น้ำปลาร้า,15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,13,น้ำพริกเผา น้ำพริกคลุกข้าว เช่น น้ำพริกตาแดง น้ำพริกสวรรค์,15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,14,น้ำพริกแกง,15 กรัม,15,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,15,เต้าหู้ยี้ 1 ชิ้นเล็ก,7 กรัม,7,กรัม
12,ซอส เครื่องปรุงรส ฯลฯ,16,น้ำสลัดชนิดต่าง ๆ,30 มิลลิลิตร,30,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,17,มายองเนส เนยถั่ว แซนด์วิชสเปรด เช่น ทูน่าสเปรด สังขยาทาขนมปัง,15 มิลลิลิตร,15,มิลลิลิตร
12,ซอส เครื่องปรุงรส ฯลฯ,18,แยม เยลลี่ มาร์มาเลด,15 มิลลิลิตร,15,มิลลิลิตร
13,ไขมัน น้ำมันฯ,1,น้ำมันและไขมันบริโภค,15 มิลลิลิตร,15,มิลลิลิตร
13,ไขมัน น้ำมันฯ,2,เนย และผลิตภัณฑ์,15 มิลลิลิตร,15,มิลลิลิตร
13,ไขมัน น้ำมันฯ,3,เนยเทียมและผลิตภัณฑ์,15 มิลลิลิตร,15,มิลลิลิตร
13,ไขมัน น้ำมันฯ,4,น้ำกะทิ,80 มิลลิลิตร,80,มิลลิลิตร
13,ไขมัน น้ำมันฯ,5,กะทิผง,15 กรัม,15,กรัม
14,อื่น ๆ,1,"ซุปสกัด เช่น ซุปไก่สกัด ซุปเห็ดสกัด, เครื่องดื่มเข้มข้นพร้อมบริโภค, เครื่องดื่มรังนก",40 มิลลิลิตร,40,มิลลิลิตร
14,อื่น ๆ,3,เม็ดอม แผ่นอม (1 เม็ด/แผ่น ประมาณ 1 กรัม),1 กรัม,1,กรัม
14,อื่น ๆ,4,หมากฝรั่ง,3 กรัม,3,กรัม
